College,Sector,Percentage (%)
IIM Amritsar,BFSI,38
IIM Amritsar,Finance,35
IIM Amritsar,Consulting,15
IIM Amritsar,IT & Analytics,12
IIM Amritsar,FMCG,8
IIM Amritsar,Operations,5
IIM Amritsar,Marketing,7
IIM Kashipur,BFSI,40
IIM Kashipur,Consulting,25
IIM Kashipur,IT & Analytics,20
IIM Kashipur,FMCG,8
IIM Kashipur,Manufacturing,5
IIM Kashipur,E-commerce,2
NMIMS Mumbai,BFSI,35
NMIMS Mumbai,Consulting,19
NMIMS Mumbai,FMCG,15
NMIMS Mumbai,IT & Analytics,12
NMIMS Mumbai,E-commerce,6
NMIMS Mumbai,General Management,8
NMIMS Mumbai,Marketing,5
